Sample Name,400-410,410-420,420-430,430-440,440-450,450-460,460-470,470-480,480-490,490-500,500-510,510-520,520-530,530-540,540-550,550-560,560-570,570-580,580-590,590-600,600-610,610-620,620-630,630-640,640-650,650-660,660-670,670-680,680-690,690-700,700-710,710-720,720-730,730-740,740-750,750-760,760-770,770-780,780-790,790-800,Class
41,0,0,0.000007,0.000013,0.000011,0.000009,0.000141,0.002247,0.009548,0.015081,0.01202,0.009401,0.011522,0.013525,0.017386,0.024042,0.025377,0.01928,0.009618,0.004143,0.005413,0.008086,0.006403,0.002138,0.001173,0.001165,0.000984,0.000806,0.000538,0.000273,0.00007,0,0,0,0,0,0,0,0,0,Non-Drinkable
42,0,0,0,0,0,0.000006,0.000047,0.001954,0.008083,0.013364,0.011779,0.00977,0.011447,0.012975,0.017412,0.024666,0.025818,0.020015,0.010361,0.004617,0.005558,0.008747,0.007058,0.002026,0.001156,0.00104,0.00101,0.000771,0.000386,0.000202,0.00004,0,0,0,0,0,0,0,0,0,Non-Drinkable
43,0,0,0,0.000004,0.000009,0.000005,0.000007,0.000023,0.000881,0.005698,0.013716,0.014421,0.010896,0.013257,0.017526,0.019322,0.024363,0.024567,0.014082,0.005887,0.00429,0.005942,0.006642,0.005348,0.00296,0.001602,0.001213,0.00083,0.000497,0.000214,0.000051,0.000025,0.000021,0.000007,0,0,0,0,0,0,Drinkable
44,0.000009,0.000009,0,0,0,0,0.000007,0.000007,0.00088,0.005354,0.014162,0.015314,0.011285,0.013392,0.017354,0.018936,0.022713,0.024206,0.015792,0.006758,0.004113,0.005964,0.006543,0.004562,0.002262,0.001192,0.001143,0.001009,0.000569,0.000188,0.000078,0.00002,0.000002,0,0,0,0,0,0,0,Drinkable
45,0,0,0.000003,0.000003,0,0.000006,0.000013,0.000007,0.000894,0.005258,0.014775,0.01624,0.011174,0.01275,0.017251,0.018776,0.022014,0.024921,0.017825,0.007551,0.004174,0.005705,0.006056,0.003798,0.00142,0.000972,0.001069,0.001021,0.000496,0.000225,0.000162,0.000115,0.000029,0.000007,0,0,0,0,0,0,Drinkable
46,0,0,0,0,0.00001,0.000014,0.000018,0.001048,0.003834,0.008748,0.011407,0.010779,0.011311,0.011951,0.014576,0.020907,0.025834,0.026478,0.017073,0.006149,0.004839,0.00726,0.007359,0.003602,0.001455,0.001423,0.001254,0.000935,0.000485,0.000248,0.000099,0.000009,0,0,0,0,0,0,0,0,Drinkable
47,0.00001,0.00001,0,0,0,0,0.00001,0.000721,0.003419,0.008906,0.011621,0.01016,0.010715,0.011754,0.014445,0.020637,0.02484,0.026249,0.018417,0.006794,0.004722,0.007863,0.007319,0.003303,0.001387,0.000987,0.00105,0.000743,0.000362,0.00028,0.000111,0.000041,0.00002,0,0,0,0,0,0,0,Drinkable
48,0,0.000002,0.000002,0.000004,0.000009,0.000005,0.000003,0.000396,0.00277,0.007968,0.011344,0.010565,0.010711,0.011985,0.014346,0.020043,0.024718,0.026412,0.018437,0.006844,0.00458,0.007675,0.007316,0.003211,0.001565,0.00137,0.001238,0.001014,0.000479,0.000025,0,0,0,0,0,0,0,0,0,0,Drinkable
49,0.000194,0.000354,0.000616,0.001056,0.001442,0.001492,0.001331,0.001499,0.002063,0.003498,0.005071,0.007421,0.010688,0.007537,0.003005,0.002575,0.003663,0.00468,0.003937,0.004272,0.006215,0.007847,0.009803,0.01264,0.016297,0.019326,0.02386,0.015747,0.003391,0.002492,0.00114,0.000363,0.000133,0.000003,0,0,0,0,0,0,Drinkable
50,0.000065,0.000152,0.000186,0.000224,0.000669,0.001217,0.001268,0.001116,0.001598,0.002631,0.003923,0.00532,0.007875,0.013703,0.010244,0.002806,0.002507,0.002184,0.003184,0.004926,0.005257,0.00509,0.007057,0.009648,0.010814,0.011129,0.012613,0.015026,0.01705,0.021195,0.013787,0.003245,0.002032,0.000655,0.000222,0.000083,0.000021,0.000011,0.00001,0.000002,Drinkable
51,0.000146,0.000268,0.000353,0.00062,0.001061,0.001197,0.0012,0.001469,0.001851,0.003091,0.005069,0.007399,0.011213,0.008811,0.003311,0.002293,0.002249,0.003979,0.005111,0.00472,0.00515,0.008143,0.009977,0.010672,0.012453,0.015492,0.018457,0.021542,0.013864,0.003303,0.002366,0.001196,0.000554,0.000207,0.000068,0.00001,0,0,0,0,Drinkable
52,0.000349,0.000329,0.000428,0.001132,0.001396,0.001177,0.001406,0.001914,0.002424,0.003893,0.00418,0.003676,0.005652,0.010597,0.009443,0.004833,0.004971,0.007013,0.008349,0.010352,0.011488,0.012109,0.015417,0.018908,0.019788,0.019948,0.01184,0.001997,0.001573,0.001294,0.001067,0.000908,0.00068,0.000317,0.000165,0.000076,0.000029,0.000003,0,0,Drinkable
53,0.000236,0.000338,0.000627,0.00148,0.001558,0.001183,0.001713,0.002102,0.003318,0.003546,0.003398,0.005373,0.009603,0.00934,0.005479,0.005042,0.005923,0.007966,0.010382,0.011249,0.012278,0.015004,0.017317,0.018228,0.021679,0.013934,0.002352,0.001652,0.001424,0.001338,0.001061,0.000776,0.000404,0.00023,0.000135,0.000049,0.00005,0.000036,0,0,Drinkable
54,0.000347,0.000365,0.000459,0.001169,0.00149,0.001229,0.001455,0.001836,0.002244,0.004536,0.004582,0.003478,0.006289,0.010582,0.008824,0.004661,0.004848,0.008595,0.010859,0.010996,0.012232,0.014077,0.016694,0.017202,0.018357,0.016163,0.007268,0.001688,0.001328,0.00093,0.000756,0.000653,0.000391,0.000153,0.000068,0.00002,0,0,0,0,Drinkable
55,0.000068,0.000153,0.000207,0.000303,0.001008,0.001421,0.001443,0.001792,0.001806,0.003165,0.004335,0.004466,0.004958,0.007612,0.00738,0.004149,0.004032,0.005228,0.007058,0.009476,0.010905,0.012577,0.016843,0.019691,0.018625,0.022386,0.015046,0.002624,0.001866,0.000876,0.00067,0.000825,0.000701,0.000394,0.000277,0.000088,0.000008,0,0,0,Drinkable
56,0.000091,0.000144,0.000226,0.00041,0.001024,0.001238,0.001302,0.001821,0.002125,0.003667,0.004708,0.00476,0.005428,0.008252,0.007569,0.003902,0.004253,0.006441,0.007576,0.008989,0.010735,0.01325,0.018155,0.019193,0.017455,0.022355,0.014949,0.002316,0.001803,0.001059,0.000815,0.00064,0.000443,0.000266,0.000195,0.000159,0.00011,0.00009,0.000055,0.000015,Drinkable
57,0.00013,0.00011,0.000143,0.000323,0.001031,0.001191,0.001287,0.00175,0.001835,0.003266,0.003829,0.004169,0.005302,0.007973,0.007446,0.004159,0.004442,0.00626,0.006922,0.008488,0.011432,0.013897,0.018102,0.018999,0.017747,0.022452,0.014355,0.002075,0.001927,0.000989,0.000517,0.000519,0.000389,0.000225,0.000147,0.000108,0.000061,0.000013,0.00001,0.00001,Drinkable
58,0.000524,0.000747,0.000924,0.001623,0.002004,0.002191,0.002507,0.003227,0.005308,0.004973,0.003861,0.006592,0.012091,0.009861,0.004297,0.004941,0.008297,0.00896,0.009964,0.011953,0.013387,0.016346,0.016848,0.018954,0.014254,0.005431,0.002459,0.001289,0.00093,0.000904,0.00058,0.000255,0.000216,0.000184,0.000151,0.000126,0.000133,0.000065,0.000008,0,Non-Drinkable
59,0.000223,0.000321,0.000552,0.00061,0.001027,0.001573,0.001572,0.002136,0.002853,0.003531,0.005241,0.004952,0.003979,0.005795,0.011571,0.010326,0.004349,0.003998,0.006915,0.007692,0.00631,0.009477,0.012345,0.014158,0.016619,0.018296,0.019574,0.011766,0.002877,0.002006,0.00134,0.001215,0.000924,0.000515,0.000368,0.000278,0.000175,0.000094,0.000043,0.000011,Non-Drinkable
60,0.00057,0.000783,0.000752,0.000916,0.001577,0.001783,0.002021,0.002597,0.003278,0.00508,0.004797,0.003926,0.005985,0.01067,0.009355,0.004391,0.004245,0.007145,0.007979,0.007435,0.01006,0.011945,0.014171,0.016049,0.018242,0.019471,0.010938,0.002897,0.001869,0.001012,0.000917,0.000674,0.00044,0.000329,0.000263,0.000219,0.000142,0.000075,0.000012,0,Non-Drinkable
61,0,0,0,0.000012,0.000072,0.008331,0.013413,0.007639,0.006001,0.008775,0.009984,0.011006,0.010865,0.008322,0.00814,0.009751,0.011786,0.015901,0.020619,0.023041,0.014378,0.004224,0.002303,0.001502,0.001296,0.000559,0.000339,0.000359,0.000371,0.000185,0.000186,0.000204,0.000095,0.000037,0,0,0,0,0,0,Drinkable
62,0.000009,0.000009,0,0.000004,0.000163,0.002774,0.009238,0.010765,0.007296,0.00726,0.009607,0.012449,0.012442,0.011629,0.012761,0.010674,0.009289,0.01125,0.013694,0.018228,0.014798,0.005977,0.002858,0.001897,0.001424,0.001205,0.001263,0.001015,0.000346,0.00028,0.000439,0.00029,0.000212,0.000158,0.000026,0,0,0,0,0,Drinkable
63,0,0.000002,0.000009,0.000031,0.000104,0.000704,0.000886,0.004894,0.009576,0.007047,0.004483,0.007106,0.010541,0.010726,0.011717,0.015256,0.015491,0.014754,0.019542,0.025541,0.016655,0.004542,0.002861,0.001894,0.000966,0.000527,0.000311,0.000211,0.000234,0.00029,0.00054,0.000865,0.001737,0.001374,0.000236,0.000254,0.000208,0.000079,0,0,Drinkable
64,0.00001,0.000022,0.000031,0.000093,0.000124,0.000108,0.000879,0.001481,0.00349,0.018814,0.018632,0.005945,0.007564,0.008944,0.00914,0.010985,0.011391,0.00989,0.009177,0.011461,0.017646,0.024069,0.017683,0.005986,0.003401,0.002343,0.001271,0.000689,0.000631,0.000509,0.000579,0.000637,0.000484,0.000309,0.000246,0.000109,0.000017,0.000003,0,0,Drinkable
65,0,0,0,0.00001,0.000144,0.007712,0.012475,0.007521,0.005685,0.007925,0.00948,0.012017,0.011617,0.00843,0.009121,0.009354,0.010238,0.013044,0.016729,0.020797,0.013888,0.004816,0.004048,0.002714,0.001458,0.000944,0.000808,0.000689,0.000559,0.000567,0.000487,0.000274,0.000106,0.000165,0.000145,0.00001,0,0,0,0,Drinkable
66,0,0.000062,0.000091,0.000115,0.00034,0.001498,0.012885,0.014208,0.005217,0.005928,0.009423,0.011595,0.010748,0.012239,0.012691,0.012107,0.015955,0.02591,0.025292,0.010325,0.003146,0.002418,0.000942,0.000593,0.000488,0.000371,0.000263,0.000203,0.000169,0.000138,0.000313,0.000323,0.000127,0.000115,0.000123,0.000115,0.00006,0.00001,0,0,Drinkable
67,0,0,0,0,0.001839,0.005488,0.011783,0.010511,0.005446,0.006705,0.0083,0.013097,0.013662,0.010963,0.01311,0.012402,0.010026,0.009735,0.010042,0.012459,0.01762,0.012448,0.003948,0.003553,0.002351,0.001189,0.000746,0.00036,0.00005,0.000229,0.00024,0.000021,0,0,0,0,0,0,0,0,Drinkable
68,0,0.000004,0.000017,0.000029,0.000395,0.001052,0.002017,0.009626,0.010786,0.004935,0.005771,0.010723,0.014521,0.013608,0.014588,0.014548,0.011508,0.011596,0.017359,0.022967,0.016217,0.006332,0.003417,0.001769,0.000953,0.000626,0.000491,0.000352,0.000321,0.000383,0.000486,0.000375,0.000128,0.00009,0.00006,0.000032,0.000051,0.000039,0,0,Drinkable
69,0,0,0.000003,0.000013,0.00001,0.000006,0.000468,0.002978,0.006825,0.009512,0.009885,0.007984,0.006559,0.006242,0.007184,0.010099,0.016616,0.027495,0.022866,0.009923,0.013545,0.014261,0.00613,0.002085,0.00081,0.000549,0.000542,0.00063,0.000479,0.000356,0.000415,0.000494,0.00082,0.000597,0.000066,0,0,0,0,0,Drinkable
70,0,0,0,0.00001,0.00005,0.002049,0.007047,0.012201,0.010232,0.006138,0.006191,0.008182,0.012368,0.013789,0.01237,0.010812,0.011028,0.012202,0.012622,0.013291,0.017685,0.012776,0.003793,0.004361,0.003786,0.001749,0.000592,0.000415,0.000415,0.000273,0.0001,0.00003,0,0,0,0,0,0,0,0,Drinkable
